Start_Year,count,Genre,Total,Top_Anime
2008.0,4,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2009.0,8,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2010.0,13,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2011.0,12,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2012.0,6,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2013.0,7,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2014.0,7,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2015.0,7,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2016.0,10,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2017.0,10,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2018.0,12,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2019.0,8,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
2020.0,2,Samurai,197,"Samurai Champloo (2004),Gintama (2006),Dororo (2019),Drifters (2016),Gintama° (2015)"
1917.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
1918.0,0,School,1572,"Boku no Hero Academia (2016),Kimi no Na wa. (2016),Boku no Hero Academia 2nd Season (2017),Angel Beats! (2010),Code Geass: Hangyaku no Lelouch (2006)"
